年 year
梁 liang
梁 beams
胡 hu
专辑 album
专辑 albums
角色 character
角色 role
角色 characters
角色 roles
武 wu
武 takeshi
赫 hyuk
半 half
成员 member
成员 members
东京 tokyo
新闻 news
现在 now
剧 drama
后来 later
女性 females
女性 female
女性 women
高度 altitude
高度 height
说 say
男 male
之前 before
合作 collaboration
合作 cooperation
合作 cooperate
门 gate
门 door
门 doors
卷 roll
卷 rolls
位置 position
位置 location
活动 activities
活动 events
活动 event
活动 activity
只 only
历史 history
歌曲 songs
歌曲 song
点 dots
点 dot
点 point
一次 once
植物 plants
植物 plant
封 feng
封 seal
皮 leather
非常 very
而且 and
通常 usually
通常 normally
形成 forming
形成 formation
比赛 game
比赛 race
比赛 contest
联赛 league
九 nine
学校 schools
学校 school
完全 completely
完全 totally
信 letters
信 letter
期间 period
接受 acceptance
接受 accepted
接受 accept
书 book
书 books
交通 transportation
交通 traffic
交通 transport
木 wooden
木 wood
讨论 discussions
讨论 discuss
故事 story
故事 stories
直接 direct
直接 directly
参与 participating
参与 engagement
参与 involvement
参与 participation
朗 lang
朗 lon
湖 lake
根 root
根 roots
保留 reservations
保留 reserved
保留 reservation
希望 hope
手 hand
手 hands
心 heart
心 hearts
巴士 bus
巴士 buses
播放 broadcast
播放 play
播放 playback
播放 plays
播放 playing
音 consonant
音 tone
增加 increase
增加 increasing
增加 increases
增加 increased
角 corner
角 angle
角 angular
角 cape
角 point
天文台 observatories
天文台 observatory
耶 yay
这些 these
丹 dan
吴 wu
太 too
徐 seo
徐 tsui
徐 xu
嘉 ka
永 wing
永 yong
歌 songs
歌 song
美元 dollars
美元 dollar
霍 huo
图 diagram
图 graph
图 chart
图 figure
投票 vote
投票 voting
投票 poll
湾 inlet
湾 cove
湾 bay
民主 democracy
寺 temple
虽然 although
虽然 though
参加 attend
参加 participating
参加 attending
特别 special
控制 control
控制 controls
蒙 mont
战 battle
战 war
电视台 tv
电视台 television
以下 below
然而 however
然而 yet
七 seven
口 mouth
仁 jin
仁 jen
委员会 commission
编辑 edit
编辑 editing
编辑 editor
推出 rollout
资料 data
隆 takashi
隆 ryu
青 ching
青 qing
青 tsing
播出 broadcast
路线 routes
路线 route
伦 lun
年度 year
宋 song
附近 near
附近 nearby
歌手 singers
歌手 singer
店 shop
店 store
二十 twenty
组织 organization
组织 organisation
组织 tissue
组织 division
分类 classifications
分类 classify
分类 classification
教授 professor
杯 cup
源 source
八 eight
法国 france
除了 except
文字 text
民族 ethnicity
民族 nationalities
主席 president
主席 chairperson
主席 chairman
不过 but
文物 artifacts
文物 antiquities
文物 relics
老 old
女子 woman
选 pick
世纪 century
铁 iron
德国 germany
票 tickets
票 ticket
动画 anime
打 fight
关系 relationships
关系 relation
关系 relations
关系 relationship
能力 competencies
能力 capacity
能力 ability
能力 capabilities
能力 capability
佛 buddha
少 fewer
少 less
网站 website
网站 site
网站 websites
模板 templates
模板 template
头 head
个人 personal
个人 individual
拥有 possession
拥有 owning
拥有 owned
学生 students
学生 student
镇 town
南部 southern
南部 south
语言 languages
语言 language
模式 modes
模式 pattern
模式 patterns
模式 mode
$ $
相关 relevant
相关 related
决定 decides
决定 decision
决定 decisions
杨 jan
杨 yang
杨 yeo
方向 directions
方向 direction
方向 orientation
郭 guo
思 si
方法 methodologies
方法 method
方法 methods
影响 impact
影响 impacts
影响 influence
影响 effects
影响 influences
属于 belonged
许多 many
第四 fourth
秀 soo
死 dead
自治 autonomy
苏 sue
苏 su
甚至 even
开 open
见 see
田 tian
只是 just
结束 end
巴西 brazil
共同 common
出版社 publisher
出版社 publishers
提名 nominations
提名 nomination
提名 nominated
保护 protecting
保护 protect
保护 protection
保护 protected
加上 add
加上 plus
食 eating
独立 indie
独立 independent
独立 independence
包含 contains
距离 distance
距离 distances
社会 society
社会 societies
社会 social
加拿大 canada
两个 two
公尺 meters
公尺 meter
公尺 metres
还 also
哥 brother
欧洲 europe
欧洲 european
像 like
铁路 rail
铁路 railway
铁路 railways
铁路 railroad
铁路 railroads
居民 residents
功能 function
功能 features
功能 functional
功能 feature
功能 functionality
联盟 union
联盟 league
联盟 alliance
联盟 alliances
联盟 coalition
洪 hung
洪 hong
利用 use
利用 utilization
最终 eventually
平均 average
平均 avg
侵 assault
侵 transgression
双 double
再次 again
网 web
网 network
网 net
施 shi
量 quantity
演员 cast
演员 actors
演员 actress
演员 actor
亚洲 asian
亚洲 asia
全球 globally
全球 globe
全球 global
全部 all
北部 north
北部 northern
运动 sports
运动 motion
运动 sport
运动 movement
中共 cpc
中共 ccp
毛 gross
毛 mao
草 grass
直到 until
名字 name
地球 earth
中华 zhonghua
死亡 death
战争 war
战争 wars
作曲 compose
作曲 composing
溪 creek
邦 pong
或者 or
红 red
唱片 record
安全 safe
安全 secure
玉 jade
学院 academy
学院 college
学院 colleges
胜 sheng
豪 howe
乡 township
原因 reasons
原因 reason
原因 cause
通过 via
通过 through
通过 pass
管 pipe
管 tube
强 strong
选举 election
选举 elections
辛 sheen
辛 sin
辛 xin
汉 han
法律 law
法律 laws
革命 revolution
革命 revolutions
计划 plan
计划 plans
时代 times
男性 males
男性 male
男性 men
目的 aims
形式 form
形式 format
郑 zheng
郑 jeong
郑 jung
基本 basic
蔡 tsai
蔡 cai
蔡 choy
蔡 chae
叶 ye
叶 leaf
叶 yip
叶 ip
单位 units
单位 unit
惠 megumi
修 fix
科技 technology
科技 tech
青年 youth
流 streaming
流 flow
流 streams
流 stream
蒙古 mongolian
蒙古 mongolia
结果 outcome
结果 results
结果 result
教 teaching
教 teach
解放 emancipation
解放 liberation
解放 liberated
祖 zu
祖 joe
体 body
球队 teams
球队 team
昌 cheong
左 left
戴 dai
戴 wear
自然 naturally
自然 natural
自然 nature
台北 taipei
澳门 macao
澳门 macau
新的 new
经济 economics
经济 economic
经济 economy
杰 jie
杰 jay
切 cut
一起 together
越南 vietnam
越南 vietnamese
权 kwon
快速 quick
快速 fast
学 learning
学 learn
职业 occupations
职业 career
职业 profession
职业 careers
职业 occupation
团 regiment
摩 mo
百 hundred
广 wide
广 broad
相同 identical
相同 same
类 class
兵 soldier
× ×
亿 billion
分钟 minutes
分钟 minute
松 pine
发 hair
超过 exceeding
政策 policy
政策 policies
银 silver
日期 date
日期 dates
穆 mu
宝 bo
宝 po
单曲 singles
普通 ordinary
鳍 fins
鳍 fin
男子 men
共和国 republic
理由 reasons
理由 reason
南京 nanking
南京 nanjing
交流 exchange
交流 exchanges
总统 president
公分 centimeter
标准 criteria
标准 standards
标准 criterion
标准 standard
排名 ranking
排名 standings
排名 rankings
排名 rank
排名 ranked
表 table
韩国 korean
韩国 korea
行动 action
行动 operation
行动 actions
余 yu
桑 mulberry
博士 doctor
立法 legislation
尾 tail
尾 tails
热带 tropical
热带 tropics
议员 senator
议员 councillor
议员 congressman
漫画 comics
漫画 cartoons
漫画 comic
漫画 manga
漫画 cartoon
短 short
坑 pits
坑 pit
大型 large
凯 kai
凯 kay
柯 ke
生物 biological
生物 biology
生物 creatures
生物 organisms
生物 creature
城镇 town
城镇 towns
春 spring
海军 navy
海军 naval
公路 roads
公路 highways
公路 road
公路 highway
冠 crown
作家 writer
作家 writers
空 empty
雪 snow
牛 cattle
牛 cow
牛 bull
火 fire
攻击 attacks
攻击 attack
攻击 assault
值 values
值 value
十二 twelve
新加坡 singapore
琳 lynn
西部 west
西部 western
土 dirt
土 soil
早期 early
速度 velocity
速度 speed
合并 merger
合并 merge
合并 merging
合并 consolidation
合并 mergers
建筑 building
建筑 buildings
建筑 construction
建筑 architecture
道路 roads
道路 road
发表 publishing
发表 publish
发表 published
低 lower
低 low
库 coop
色 color
乐 lok
转 turn
仍然 still
来自 from
每年 yearly
天津 tianjin
我的 my
技术 technical
技术 technologies
技术 technique
技术 technology
技术 techniques
主任 director
毕业 graduated
毕业 graduation
毕业 graduate
设 set
机场 airport
机场 airports
威廉 william
馆 pavilion
天主教 catholicism
天主教 catholic
富 rich
千 thousand
芬 fen
芬 fin
大部分 most
程 cheng
房 room
柏 por
最早 earliest
她的 her
太平洋 pacific
我们 we
费 fee
情况 situation
最初 initially
来源 source
来源 sources
首都 capital
牌 cards
杯 cup
广告 ads
广告 advertisements
广告 advertising
广告 advertisement
广告 ad
深 depth
深 deep
描述 describe
描述 description
描述 descriptive
描述 descriptions
皇帝 emperor
@ @
侯 hou
域 domain
域 domains
团体 groups
流行 popular
流行 pop
潘 pam
潘 pan
欧 ou
计划 plan
列车 train
列车 trains
环 ring
环 rings
环 loop
父 father
不明 unknown
不明 unidentified
取代 replaced
取代 replace
兄弟 brother
物理 physics
物理 physical
底 bottom
智 ji
右 right
武器 weapons
武器 weapon
显示 showing
显示 shows
显示 display
显示 show
制度 regime
报告 report
报告 reporting
报告 reports
秒 seconds
秒 second
秒 sec
第五 fifth
云 clouds
云 cloud
云 yun
小说 novel
小说 novels
小说 fiction
风 wind
程度 degree
导演 director
父亲 father
和平 peace
西北 northwestern
西北 northwest
西北 nw
产生 generating
圈 circles
圈 circle
修改 modify
修改 modified
修改 modification
乌 oo
直 straight
生产 manufacture
生产 production
申请 applications
申请 application
单 single
谷 valley
谷 tani
魏 wei
巴黎 paris
家庭 families
家庭 family
流域 basin
流域 watersheds
流域 watershed
宗教 religion
宗教 religious
宗教 religions
表演 performing
英格兰 england
拜 bye
联合 joint
当地 locally
当地 local
不久 soon
作用 role
作用 roles
改革 reform
改革 reforms
改革 reformed
改革 reforming
艺术 arts
艺术 art
艺术 artistic
球员 player
球员 players
教区 parish
教区 diocese
处理 handling
处理 handle
处理 processing
香 incense
先生 sir
宁 ning
建议 advice
建议 recommendations
建议 suggestions
建议 suggestion
建议 recommendation
建议 proposal
旅 brigades
旅 brigade
全国 nationally
全国 nationwide
‧ ‧
人员 personnel
虎 tiger
超级 super
土地 lands
土地 land
彭 peng
四川 sichuan
曹 cao
展 exhibition
特色 features
特色 feature
公园 park
公园 parks
包 bag
包 package
包 bao
包 pack
中部 midlands
西南 southwestern
西南 southwest
韦 wei
翼 tsubasa
翼 wing
翼 wings
孔 kong
孔 hole
麦 mak
卢 lu
卢 lou
十一 eleven
十一 xi
研究所 institute
研究所 institutes
协会 association
主演 starring
文学 literary
文学 literature
频道 channels
频道 channel
少年 teen
少年 juvenile
少年 junior
旧 old
大家 everyone
股份 shares
泉 izumi
纪录 record
纪录 records
影片 films
影片 movie
影片 video
影片 film
身份 identities
身份 identity
义 righteousness
基地 bases
基地 base
必须 must
文件 files
文件 file
电视剧 drama
更多 more
蓝 blue
居住 residence
居住 residency
力量 strength
板 plates
板 plate
板 boards
秦 qin
浙江 zhejiang
禁 forbidden
船 ship
船 boat
文章 articles
意见 opinions
意见 comments
意见 opinion
公主 princess
同意 agreed
同意 agree
果 fruit
最多 most
最多 max
地下 underground
十 ten
银行 banks
银行 bank
非洲 africa
非洲 african
媒体 media
支援 support
支援 backup
陵 mausoleum
第十 tenth
拍摄 shoot
拍摄 filming
拍摄 shooting
还有 and
西藏 tibet
俄罗斯 russia
节 festival
分析 analytical
分析 analytics
分析 analysis
荣 rong
伟 wai
旗 flags
旗 flag
旗 banner
行星 planet
行星 planetary
行星 planets
作者 writer
作者 authors
作者 writers
作者 author
北海道 hokkaido
° °
皇家 royal
皇家 royals
电子 electron
电子 electronic
电子 electronics
三十 thirty
伦敦 london
范围 scopes
范围 ranges
范围 range
党 party
缺乏 lacking
微 micro
教堂 churches
教堂 church
警察 police
丝 silk
努 nu
赵 zhao
赵 cho
帝国 empire
原本 originally
娱乐 recreation
娱乐 entertain
娱乐 entertaining
娱乐 entertainment
坡 slope
坡 poe
方案 program
方案 programmes
方案 programs
方案 programme
屋 house
部队 troops
词 word
词 words
洞 hole
洞 cave
洞 dong
宫 palace
影 shadows
影 shadow
速 speed
黎 lê
黎 lai
会议 conference
会议 meetings
会议 meeting
资讯 information
丰 yutaka
战斗 battle
战斗 fighting
战斗 fight
项目 project
项目 items
项目 projects
项目 item
玩家 player
玩家 gamer
玩家 players
限制 limitations
限制 restrictions
限制 limitation
限制 restriction
限制 limit
电脑 computer
电脑 computers
如何 how
创作 creations
创作 creation
创作 creative
引擎 engine
引擎 engines
执行 execute
执行 execution
执行 executing
英雄 heroes
英雄 hero
下午 afternoon
透过 through
反对 objection
反对 opposition
兴 xing
兴 hing
小时 hours
小时 hour
昂 ang
昂 aung
不足 insufficient
不足 inadequacy
不足 inadequate
体育 sport
体育 sports
洲 chau
投入 input
投入 inputs
有些 some
元素 elements
元素 ingredients
元素 elemental
元素 element
宇 woo
任命 appointments
任命 appointment
解 solve
跨 trans
王朝 dynasty
区域 zone
区域 area
区域 region
区域 regions
以前 before
报 newspaper
分子 molecular
分子 molecule
分子 molecules
隧道 tunnel
隧道 tunnels
孙 sun
崔 choi
崔 cui
礼 rite
申 shin
湖南 hunan
杂志 magazine
杂志 magazines
有效 valid
有效 effective
平台 platform
平台 platforms
概念 concept
概念 notion
概念 concepts
议会 parliament
议会 parliaments
传统 traditional
传统 tradition
传统 traditions
夏季 summer
照片 photographs
照片 picture
照片 photograph
照片 pictures
照片 photos
照片 photo
核 nuclear
核 nucleus
更名 renaming
停止 stop
公开 public
仙 fairy
仙 xian
剑 swords
剑 sword
机构 agency
机构 institutions
机构 institution
带 bring
带 belt
操作 operation
取消 cancel
取消 cancellation
人类 humans
人类 human
市场 marketplace
市场 markets
市场 market
接近 approaching
飞 fly
飞 flying
军事 military
协助 assisting
协助 assistance
协助 assist
协助 assisted
桥 bridge
桥 bridges
调查 surveys
调查 investigation
调查 survey
调查 investigate
调查 investigations
投 cast
投 pitch
忠 chung
澳洲 australian
主教 bishop
孟 meng
纪念 memorial
纪念 souvenir
纪念 commemorative
纪念 remembrance
纪念 commemoration
地点 venue
地点 place
地点 location
地点 places
地点 locations
台风 typhoons
台风 typhoon
决赛 final
决赛 finals
大臣 minister
柳 yoo
柳 ryu
沈 shen
沈 shim
人工 artificial
守 mamoru
移动 move
陆军 army
法院 court
法院 courthouse
法院 courts
留 stay
电 electricity
电 electric
运动员 athlete
运动员 athletes
运动员 sportsman
效力 potency
梦 dream
梦 dreams
祥 xiang
罗马 rome
科学 science
科学 scientific
东北 northeastern
东北 northeast
乌克兰 ukraine
启用 enable
启用 enabled
启用 activate
皇后 empress
皇后 queen
肯 ken
齐 qi
九龙 kowloon
柱 column
柱 pillar
动物 animals
动物 animal
佛教 buddhism
佛教 buddhist
精神 spiritual
精神 spirit
精神 mental
企业 enterprises
企业 businesses
企业 business
企业 enterprise
核心 core
核心 nucleus
核心 kernel
环境 environment
环境 environments
河南 henan
冰 ice
第七 seventh
甘 gan
飞机 aircraft
飞机 plane
飞机 airplane
詹 zhan
应该 should
太阳 sun
太阳 solar
深圳 shenzhen
瑞典 sweden
厅 hall
关 guan
关 off
竹 bamboo
福建 fujian
选择 selection
选择 choose
选择 select
选择 choice
陶 tao
珠 beads
比较 comparison
比较 compare
比较 comparative
比较 comparisons
类似 similar
眼 eyes
眼 eye
泽 chak
妻子 wife
秋 autumn
雨 rain
编号 numbering
编号 id
编号 number
亭 kiosk
温 wen
思想 thought
思想 thoughts
破坏 sabotage
破坏 destruction
重建 rebuilding
重建 rebuild
重建 reconstruction
第六 sixth
基督教 christian
基督教 christianity
南方 southern
南方 south
洋 hiroshi
洋 ocean
公民 civic
公民 citizens
公民 citizen
燕 swallow
燕 yan
改善 improving
改善 improvements
改善 improved
改善 improve
改善 improvement
铁道 railway
铁道 railways
铁道 railroad
苏联 ussr
烈 yeol
制造 manufacture
制造 manufactured
制造 manufacturing
敏 min
网路 web
网路 internet
网路 networking
网路 network
网路 networks
炮 cannon
炮 gun
岩 rocks
岩 rock
排 platoon
排 row
朋友 friends
朋友 friend
离开 leave
十六 xvi
十六 sixteen
有人 someone
生命 life
找到 found
找到 find
十五 fifteen
油 oil
油 oils
状态 status
调 tune
贤 hyun
更新 updated
更新 update
更新 updating
更新 updates
降 descending
弹 play
舰 ship
层 layers
层 layer
主题 themes
主题 topic
主题 theme
主题 topics
主题 subject
球场 stadium
返回 returns
返回 return
宇宙 universe
宇宙 cosmic
医院 hospital
医院 hospitals
平方 square
平方 squared
批准 approvals
批准 ratification
批准 approval
批准 approve
批准 approved
瑞士 switzerland
大道 boulevard
大道 avenue
旅客 passenger
旅客 passengers
旅客 travelers
酒店 hotel
酒店 hotels
顺 shun
西方 west
西方 western
现代 modern
未来 future
未来 mirai
营 battalion
营 camp
芳 fang
著作 writings
鲤 carp
金融 financial
任务 assignment
任务 task
任务 tasks
任务 mission
商业 commerce
商业 commercial
商业 business
雄 woong
基金 fund
基金 funds
空间 spaces
空间 space
亮 ryo
零 zero
诗 poem
诗 poetry
诗 poems
庆 kyung
庆 khánh
巨 giant
过去 past
董 tung
董 dong
国民 nationals
存 deposit
提高 increase
严重 serious
严重 severe
论 theory
俊 jun
俊 joon
背景 backgrounds
母亲 mother
训练 training
熙 hee
葡萄牙 portuguese
葡萄牙 portugal
行为 behaviour
行为 behaviors
行为 behavior
行为 conduct
乔 joe
朝鲜 joseon
朝鲜 korea
工业 industries
工业 industry
工业 industrial
盖 gai
慧 hye
舒 shu
坦克 tank
坦克 tanks
剧场 theater
剧场 theatre
授予 awarding
授予 award
授予 awarded
水域 waters
茂 mau
茂 shigeru
茂 moo
参考 reference
健 jian
韩 han
台北市 taipei
收入 incomes
收入 revenue
收入 earnings
收入 income
收入 revenues
珍 jane
成绩 achievements
成绩 grades
成绩 accomplishments
成绩 achievement
姓 surname
盛 sheng
菜 dish
菜 cuisine
菜 dishes
古代 ancient
灰 gray
灰 ash
灰 grey
灰 ashes
工具 tool
工具 tools
宽 width
宽 broad
宽 wide
提升 upgrade
提升 upgrading
提升 lift
提升 uplift
楚 chu
新疆 xinjiang
退 retreat
十八 eighteen
持续 sustained
持续 continuous
品牌 brands
品牌 branding
品牌 brand
卓 cheuk
卓 zhuo
翻译 translations
翻译 translating
翻译 translators
翻译 translated
翻译 translation
翻译 translate
目标 goal
目标 objectives
目标 goals
目标 objective
目标 targets
目标 target
基础 base
基础 basis
自动 auto
自动 automatic
自动 automatically
自动 automated
群岛 archipelago
群岛 islands
理论 theory
理论 doctrine
理论 theories
军队 army
宣 xuan
镜 mirror
注意 attention
大楼 building
出口 exit
出口 exports
出口 export
出口 exits
地震 earthquake
地震 earthquakes
平方米 sqm
关于 about
海外 overseas
海外 oversea
海外 offshore
高速公路 freeway
高速公路 highways
高速公路 expressways
高速公路 autoroute
高速公路 highway
产品 product
产品 products
条约 treaties
条约 treaty
助理 assistant
助理 assistants
画 paint
画 draw
画 painting
舞 dance
舞 dancing
荷兰 netherlands
兽 beast
汽车 car
汽车 cars
宏 macros
避免 avoiding
避免 avoid
命令 commands
命令 command
命令 order
命令 orders
远 far
结构 structures
结构 architecture
结构 structure
结构 structural
埃及 egypt
字母 alphabet
字母 letters
字母 letter
大陆 continental
大陆 mainland
大陆 continent
大陆 continents
可可 coco
可可 cocoa
海岸 shore
海岸 coast
水平 horizontally
水平 horizontal
辉 fai
辉 huy
墨西哥 mexico
都市 metropolis
学习 studying
学习 study
学习 learning
学习 learn
赖 lai
阮 nguyễn
阮 nguyen
阮 ruan
动 move
乐团 band
乐团 orchestra
那些 those
材料 materiel
材料 material
材料 materials
以后 later
士兵 soldier
士兵 soldiers
容易 easy
魔法 magic
彼得 peter
大阪 osaka
茶 tea
孩子 child
代理 agent
代理 acting
代理 proxy
组合 combination
组合 mix
正常 normal
北京市 beijing
王子 prince
模型 models
模型 model
夜 nights
夜 night
乘客 passenger
乘客 passengers
锦标赛 championships
锦标赛 tournament
锦标赛 tournaments
锦标赛 championship
禁止 ban
禁止 forbidden
禁止 prohibited
禁止 prohibition
重播 replay
重播 playback
重播 rerun
宣传 publicity
宣传 propaganda
宣传 advocacy
巨大 huge
同样 likewise
克拉 carats
蛇 snake
蛇 snakes
紫 purple
紫 violet
周 week
完整 full
完整 complete
爆 blast
翁 weng
上市 listings
上市 listed
上市 listing
德里 delhi
森林 forest
森林 forests
介绍 introducing
介绍 intro
介绍 presentation
白色 white
晚上 evening
晚上 night
国王 king
袁 yuan
欣 xin
优 yu
耳 ear
耳 ears
改变 changing
改变 change
广场 square
广场 piazza
广场 plaza
市民 citizens
市民 citizen
树 tree
树 trees
大西洋 atlantic
联邦 federal
联邦 federation
联邦 confederation
麻 hemp
土耳其 turkey
酸 sour
酸 acid
酸 acids
董事 directors
董事 directorship
外交 diplomatic
外交 diplomacy
夫人 madam
公斤 kilograms
公斤 kilos
公斤 kg
公斤 kilogram
公斤 kilo
效果 effect
效果 effects
说明 description
资格 qualification
连续 consecutive
连续 continuous
连续 continuum
晚 late
轮 wheel
轮 wheels
轮 round
记录 recording
记录 record
记录 records
作战 combat
写 write
写 writing
鹿 deer
地理 geographic
地理 geography
孝 filial
孝 hyo
姜 kang
姜 jiang
姜 ginger
最近 lately
最近 recently
最近 recent
咸 salty
网页 website
秘密 secret
变 change
人大 npc
开放 openness
开放 open
主持人 moderator
主持人 host
主持人 facilitator
移民 immigrants
移民 emigration
移民 migrants
移民 immigration
移民 migration
运输 transportation
运输 transport
背 back
第八 eighth
姚 yao
大小 sizes
大小 size
演唱会 concert
演唱会 concerts
锡 tin
习性 habits
顶 top
柏林 berlin
三个 three
今天 today
儒 ru
符 amulet
亲 kiss
儿子 son
骨 bones
骨 bone
加州 california
人口普查 census
人口普查 censuses
战役 battle
战役 battles
电台 radio
墓 tomb
墓 grave
北方 north
北方 northern
活跃 active
星期一 mondays
星期一 monday
益 ik
首播 premiere
首播 premiered
业务 business
射 shoot
前身 predecessor
前身 forerunner
启 kai
极 polar
极 extremely
野 wild
投资 investing
投资 invest
投资 investment
投资 investments
海洋 oceans
海洋 ocean
类型 genre
类型 type
类型 types
机会 chance
机会 opportunity
机会 opportunities
错误 mistake
错误 wrong
错误 mistakes
错误 error
仪 yee
总部 hq
总部 headquarters
总部 headquarter
健康 healthy
健康 health
股 unit
身高 height
热 hot
热 heat
空中 aerial
空中 airborne
空中 air
工人 workers
工人 worker
轻 light
